
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819172500_s.jpg.txt	[Extension: .jpg]	[Size: 232049 bytes]	[Last modification: 2020-07-18 17:17:25]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819172800_s.jpg.txt	[Extension: .jpg]	[Size: 242031 bytes]	[Last modification: 2020-07-18 17:17:28]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819180700_s.jpg.txt	[Extension: .jpg]	[Size: 242162 bytes]	[Last modification: 2020-07-18 17:18:07]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819181100_s.jpg.txt	[Extension: .jpg]	[Size: 233692 bytes]	[Last modification: 2020-07-18 17:18:11]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819182400_s.jpg.txt	[Extension: .jpg]	[Size: 243720 bytes]	[Last modification: 2020-07-18 17:18:24]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819183600_s.jpg.txt	[Extension: .jpg]	[Size: 240618 bytes]	[Last modification: 2020-07-18 17:18:36]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819183800_s.jpg.txt	[Extension: .jpg]	[Size: 244387 bytes]	[Last modification: 2020-07-18 17:18:38]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819184700_s.jpg.txt	[Extension: .jpg]	[Size: 241379 bytes]	[Last modification: 2020-07-18 17:18:47]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819184900_s.jpg.txt	[Extension: .jpg]	[Size: 74408 bytes]	[Last modification: 2020-07-18 17:18:49]
C:\Users\Okdak\source\repos\FBD FlashBackDrive\FBD Default Backups\[E_FreeNTFS] 2023-09-29_16H49\Switch\Gallery\ 51 Worldwide Classics\2020071819194200_s.jpg.txt	[Extension: .jpg]	[Size: 77156 bytes]	[Last modification: 2020-07-18 17:19:42]
